Exercise,muscles_primary,muscles_secondary,exercise_complexity,exercise_level,movement_pattern,body_region,skill_category,laterallity,resistance_type,equipment
Copenhagen Hip Dip,adductors,core,compound,intermediate,core,core,,unilateral,bodyweight,
Clamshell,abductors,,isolation,beginner,,lower,,unilateral,bands,bands
Band Assisted Muscle Up,lats,triceps,compound,intermediate,vertical pull,upper,muscle up,bilateral,bodyweight,bands
Barbell Hip Thrust,glutes,hamstrings,compound,intermediate,hinge,lower,,bilateral,free weight,barbell
DB Romanian Deadlift,hamstrings,glutes,compound,intermediate,hinge,lower,,bilateral,free weight,dumbbell
Hip Abductor Machine,abductors,,isolation,beginner,,lower,,bilateral,machine,machines
Hip Adductor Machine,adductors,,isolation,beginner,,lower,,bilateral,machine,machines
Adv. Tuck/L Front Lever Row,lats,core,compound,advanced,horizontal pull,upper,front lever,bilateral,bodyweight,bar
Archer Push Up,chest,triceps,compound,intermediate,horizontal push,upper,,unilateral,bodyweight,
Archer Ring Push Up,chest,triceps,compound,advanced,horizontal push,upper,,unilateral,bodyweight,rings
BW Face Pull,rear delts,upper back,compound,intermediate,horizontal pull,upper,,bilateral,bodyweight,bar
DB Single-leg RDL,hamstrings,glutes,compound,intermediate,hinge,lower,,unilateral,free weight,dumbbell
BW Bicep Curl,biceps,,isolation,beginner,,upper,,bilateral,bodyweight,bar
Barbell 21s Curl,biceps,,isolation,intermediate,,upper,,bilateral,free weight,barbell
Chin Up,lats,biceps,compound,beginner,vertical pull,upper,,bilateral,bodyweight,bar
Copenhagen Plank,adductors,core,compound,intermediate,core,core,,unilateral,bodyweight,
Explosive High Pull Up,lats,traps,compound,advanced,vertical pull,upper,plyometrics,bilateral,bodyweight,bar
Barbell Curl,biceps,,isolation,beginner,,upper,,bilateral,free weight,barbell
Barbell Calf Raise,calves,,isolation,beginner,,lower,,bilateral,free weight,barbell
Cable Hammer Curl,biceps,,isolation,intermediate,,upper,,bilateral,free weight,cable
Deadlift,hamstrings,glutes,compound,advanced,hinge,lower,,bilateral,free weight,barbell
Glute Bridge,glutes,hamstrings,compound,beginner,hinge,lower,,bilateral,bodyweight,
Good Morning,hamstrings,glutes,compound,intermediate,hinge,lower,,bilateral,free weight,barbell
Jump Assisted MU,lats,triceps,compound,intermediate,vertical pull,upper,muscle up,bilateral,bodyweight,bar
Kettlebell Swing,hamstrings,glutes,compound,intermediate,hinge,lower,,bilateral,free weight,kettlebell
Dumbbell Curl,biceps,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
Calf Raise,calves,,isolation,beginner,,lower,,bilateral,bodyweight,
Single Leg Calf Raise,calves,,isolation,beginner,,lower,,unilateral,bodyweight,
Dragon Flag,abs,hip flexors,compound,advanced,core,core,,bilateral,bodyweight,
L-Sit Pull Up,lats,abs,compound,advanced,vertical pull,upper,front lever,bilateral,bodyweight,bar
Dumbbell Hammer Curl,biceps,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
Dumbbell Preacher Curl,biceps,,isolation,intermediate,,upper,,unilateral,free weight,dumbbell
Dumbbell Reverse Curl,forearms,,isolation,beginner,,upper,,unilateral,free weight,dumbbell
Smith Machine Calf Raise,calves,,isolation,beginner,,lower,,bilateral,machine,machines
Chest Press Machine,chest,triceps,compound,beginner,horizontal push,upper,,bilateral,machine,machines
MU Negative,lasts,triceps,compound,advanced,vertical pull,upper,muscle up,bilateral,bodyweight,bar
Standing Calf Raise Machine,calves,,isolation,beginner,,lower,,bilateral,machine,machines
Romanian Deadlift,hamstrings,glutes,compound,intermediate,hinge,lower,,bilateral,free weight,barbell
Hanging Leg Raise,abs,hip flexors,compound,intermediate,core,core,,bilateral,bodyweight,bar
Single Leg Barbell RDL,hamstrings,glutes,compound,advanced,hinge,lower,,unilateral,free weight,barbell
L-Sit,abs,hip flexors,compound,intermediate,core,core,,bilateral,bodyweight,parallel bars
Stiff-Legged Deadlift,hamstrings,glutes,compound,intermediate,hinge,lower,,bilateral,free weight,barbell
Sumo Deadlift,glutes,quads,compound,advanced,hinge,lower,,bilateral,free weight,barbell
1.5 Back Squat,quads,glutes,compound,intermediate,squat,lower,,bilateral,free weight,barbell
Alisa Squat,quads,glutes,compound,intermediate,squat,lower,,bilateral,bodyweight,partner
Decline Pike Push Up,shoulders,triceps,compound,intermediate,vertical push up,upper,handstand,bilateral,bodyweight,
Decline Push Up,chest,triceps,compound,beginner,horizontal push,upper,,bilateral,bodyweight,
Decline Ring Push Up,chest,triceps,compound,advanced,horizontal push,upper,,bilateral,bodyweight,rings
Decline Sit Up,abs,hip flexors,compound,intermediate,core,core,,bilateral,bodyweight,bench
Archer Squat,quads,glutes,compound,intermediate,squat,lower,,unilateral,bodyweight,
Deficit Decline Push Up,chest,triceps,compound,intermediate,horizontal push,upper,,bilateral,bodyweight,parallel bars
Deficit Push Up,chest,triceps,compound,intermediate,horizontal push,upper,,bilateral,bodyweight,parallel bars
EZ-Bar Curl,biceps,,isolation,beginner,,upper,,bilateral,free weight,ez-bar
Parallel Bar Leg Raise,abs,hip flexors,compound,intermediate,core,core,,bilateral,bodyweight,parallel bars
